a,b,82.804158192542
a,d,47.025290845716
a,k,190.56439409308
b,c,77.285881971075
b,e,453.05691051047
c,f,526.63790146284
c,j,102.35216805916
d,e,476.99788731498
d,g,243.15590899773
d,n,443.48481003466
e,f,188.77620080471
e,h,555.19768404809
f,i,641.3485737032
f,j,578.49213136607
g,c,260.81495728423
g,h,342.02493999355
h,b,135.89265500028
h,g,342.02493999355
i,h,94.654100492651
i,j,67.9824740218
k,g,99.104649784448
k,l,47.370236343723
l,f,399.02183623556
l,n,279.34607967191
m,l,229.99471879314
n,m,284.63386779622
o,j,332.94252593345
p,b,305.07968164195
p,i,402.86478612822
q,j,300.11988360326
q,m,372.59450566465
q,o,176.92232692827
r,d,204.61220871904
r,o,109.84147258714
r,p,143.363626644
